reference,baseline_hyp,finetuned_hyp,llm_repaired,speech_status,gender,duration
floor,Oh my god.,"floor,","floor,",dysarthria,female,1.965
We gathered shells on the beach,We gathered the show from the beach.,We gathered shelves on the beach,We gathered shelves on the beach,dysarthria,female,5.1
cake,Hey!,cake,cake,dysarthria,male,2.52
ray,Bye.,ray,ray,dysarthria,female,1.715
fill,We'll be in the end.,filk,filk,dysarthria,male,2.875
mere,Yeah.,mea,mea,dysarthria,male,2.582
loop,you,loop,loop,dysarthria,male,1.251
lead ,Please,"leaves,","leaves,",dysarthria,female,1.193
Before Thursday's exam review every formula,Be prepared to stay for a grand review of the formula.,"Before Thursday's program review every formula,","Before Thursday's program review every formula,",dysarthria,female,4.445
She had your dark suit in greasy wash water all year,"the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad, the ad,",He asked your doctor in crisis what was all yours,He asked your doctor in crisis what was all yours,dysarthria,male,10.285
two,too.,2,2,dysarthria,female,0.9
spain,Spray.,"spray,","spray,",dysarthria,female,3.055
park,pork,pork,pork,dysarthria,male,1.228
It's about,It's a problem.,It's about,It's about,dysarthria,female,0.645
five,Bye!,five,five,dysarthria,male,2.1
feet,Pete!,feet,feet,dysarthria,male,1.73
write,Right.,write,write,dysarthria,female,2.495
sip,See you!,sip,sip,dysarthria,male,1.647
take,Take,take,take,dysarthria,male,1.36
Usually minus several buttons,"Oh my god, my soul buttons.","Rally minus several buttons,","Rally minus several buttons,",dysarthria,female,4.874
bug,Fork.,fug,fug,dysarthria,male,1.65
The train approached the depot slowly,"The dream had brought the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy, the boy",The train approached the boy's story,The train approached the boy's story,dysarthria,male,7.861
They carried me off on the stretcher,They carry me up on the structure.,The gathering we are on the stretcher,The gathering we are on the stretcher,dysarthria,male,6.15
pit,PIT!,pit,pit,dysarthria,male,2.69
I'm willing to experiment for the first time,I am willing to experiment for the first time.,I'm willing to experiment for the first time,I'm willing to experiment for the first time,dysarthria,female,4.25
know,No.,know,know,dysarthria,male,2.432
bubble,"That's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it, that's it,","bubble,","bubble,",dysarthria,male,2.1
Bright sunshine shimmers on the ocean,bright sand and shimals and the old shim.,Waste sunshine shimmers on the ocean,Waste sunshine shimmers on the ocean,dysarthria,male,4.95
written,We're working.,ricken,ricken,dysarthria,female,1.65
down,Bye!,down ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive,down ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive ive,dysarthria,male,4.05
troop,Troop!,troop,troop,dysarthria,male,2.85
rich,Oh my god.,rich,rich,dysarthria,male,3.15
range,Ready?,range,range,dysarthria,male,2.4
Alfalfa is healthy for you,I'm about to leave for you.,About he's early for you,About he's early for you,dysarthria,male,5.418
trade,Great!,crayed,crayed,dysarthria,male,1.99
I've kept it with me ever since,"I've kept it with me, I've persented.",I've kept it with me ever since,I've kept it with me ever since,dysarthria,female,3.45
no,No.,no,no,dysarthria,female,1.65
beat,BITCH!,beat,beat,dysarthria,male,2.554
ship,Good.,chip,chip,dysarthria,male,1.61
knew,MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM,"knoop and you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you","knoop and you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love with me, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you're not in love, you",dysarthria,male,3.85
loyal,"No, yeah.",loyal,loyal,dysarthria,male,3.34
light,Light.,light,light,dysarthria,female,1.65
train,Okay.,faying,faying,dysarthria,female,2.061
droop,Group.,droop,droop,dysarthria,male,2.85
dot,God.,dot,dot,dysarthria,female,0.923
This was easy for us,"The Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, the Queen, Queen, the Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen, Queen Queen, Queen, Queen",This way is easier for a,This way is easier for a,dysarthria,male,5.5
grow,Grow,grow,grow,dysarthria,male,2.305
goat,Good.,goat,goat,dysarthria,male,1.98
When he speaks his voice is just a bit cracked and quivers a trifle,"When e-bake is made, it does a bit crack in the corals I drew for.","When he speaks his voice is just a bit crack in quivers as truthful,","When he speaks his voice is just a bit crack in quivers as truthful,",dysarthria,male,12.075
hem,HEM!,him,him,dysarthria,male,3.115
spark,Buh!,spuck,spuck,dysarthria,male,1.99
weed,we,"weed,","weed,",dysarthria,female,1.2
seeds,See?,seeds,seeds,dysarthria,female,2.015
spit,Let's do it.,split,split,dysarthria,female,5.1
I scrubbed the floors thoroughly,"So, I'm scrubbed that floor and threw the knee.",So I scrubbed the floor in 3-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-,So I scrubbed the floor in 3-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-layer-,dysarthria,male,6.165
bad,F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-,fab,fab,dysarthria,male,2.365
up,up,up,up,dysarthria,male,1.88
near,You're here.,near,near,dysarthria,male,2.13
double,double,double,double,dysarthria,female,1.256
fair,See you!,"fair,","fair,",dysarthria,female,1.35
I just try to do my best,"I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, I did, did, I did, I did, I did, I did, did, I did, I did, I did, I did, I did, did, I did, I did, I did, I did,",I just tried to do my best,I just tried to do my best,dysarthria,male,9.73
a,Ah!,a,a,dysarthria,male,2.39
knot,Not.,"knot,","knot,",dysarthria,male,1.827
hitting,"Hey, Ring!",having,having,dysarthria,female,1.8
kilo,You're not.,killout,killout,dysarthria,male,3.45
heart,hard,hardt,hardt,dysarthria,male,1.79
swarm,See you on the next video.,swarm,swarm,dysarthria,male,3.485
I'm willing to experiment for the first time,I'm willing to experience it for the first time.,And we're willing to experiment for the first time,And we're willing to experiment for the first time,dysarthria,female,4.265
tell,Hello,tell,tell,dysarthria,male,2.4
but he always answers Banana oil,But he always answers banana oil.,But he always answers banana oil,But he always answers banana oil,dysarthria,female,3.253
he dresses himself in an ancient black frock coat,"He dreaded in me of him, and he didn't beg for a cold.",He judges himself in an alien black frog coat,He judges himself in an alien black frog coat,dysarthria,male,12.45
barn,barn,barn__________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,barn__________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,dysarthria,male,2.185
hem,him.,hem,hem,dysarthria,male,2.41
jungle,Jango.,jungle,jungle,dysarthria,female,2.75
league,Eeeeeeek!,leak,leak,dysarthria,male,1.8
beat,me,me,me,dysarthria,female,1.05
jaw,God!,jar,jar,dysarthria,male,1.964
six,Ehh!,"licks,","licks,",dysarthria,male,2.4
lead ,Good.,lead,lead,dysarthria,male,3.32
Please open the window quickly,Please open the window quickly.,Please open the window quickly,Please open the window quickly,dysarthria,female,4.65
Alfalfa is healthy for you,And Phelpha is healthy for you.,Afelfa is healthy for you,Afelfa is healthy for you,dysarthria,male,4.05
You're used to being on the field,You do be in the field.,You're used to being on the field,You're used to being on the field,dysarthria,male,4.98
bubble,Wow!,bough,bough,dysarthria,female,1.65
feet,VIT!,veet,veet,dysarthria,male,4.2
loop,loop,loop,loop,dysarthria,female,2.19
I have had my bell rung,I have had my bell rung.,"I have had my bell rung,","I have had my bell rung,",dysarthria,male,3.64
leak,Meek.,leak,leak,dysarthria,female,4.25
dot,Daht!,dot,dot,dysarthria,male,1.367
giving those who observe him a pronounced feeling of the utmost respect,Giving those who observe him a pronounced feeling of the utmost respect.,giving those who observe him a pronounced feeling of the utmost respect,giving those who observe him a pronounced feeling of the utmost respect,dysarthria,female,6.3
kilo,See you all.,kilo__________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,kilo__________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,dysarthria,female,3.3
fruit,Fruit,fruit,fruit,dysarthria,male,2.64
slicker,Slicker.,slicker,slicker,dysarthria,male,3
sip,Good.,hip,hip,dysarthria,male,2.7
whoop,Oh,whose,whose,dysarthria,male,2.585
air,air,air,air,dysarthria,male,2.7
ship,Shep.,sip,sip,dysarthria,female,1.65
slip,Slip.,slipp,slipp,dysarthria,female,1.5
blow,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,",plough,plough,dysarthria,male,2.99
jungle,Let's go.,jungle,jungle,dysarthria,male,2.255
explore,Good boy!,bore,bore,dysarthria,male,4.13
knew,NOO!,knoo,knoo,dysarthria,male,4.05
shy,Sure.,shy,shy,dysarthria,female,1.8
kitten,Kitten.,chitton,chitton,dysarthria,male,2.475
through,through.,throw,throw,dysarthria,male,4.05
We gathered shells on the beach,We gather shells on the beach.,We gathered shells on the beach,We gathered shells on the beach,dysarthria,male,4.2
glitter,"Be a good, too.",bilit-tare,bilit-tare,dysarthria,male,3.65
top,Ta-da!,tup,tup,dysarthria,male,2.52
fee,See you.,fee,fee,dysarthria,male,4.05
explore,"Hey, cool.",xfloor,xfloor,dysarthria,male,3.17
nine,No,nine,nine,dysarthria,male,1.95
brought,Oh blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,vlog,vlog,dysarthria,male,4.5
echo,Ego!,"ecco,","ecco,",dysarthria,male,1.777
hair,Here.,"hair,","hair,",dysarthria,female,1.5
A roll of wire lay near the wall,"Oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God, oh God,",A wall of wire laying near the wall,A wall of wire laying near the wall,dysarthria,male,7.6
Help Greg to pick a peck of potatoes,Help Greg to pick a pack of potatoes.,Help Greg to pick a pack of potatoes,Help Greg to pick a pack of potatoes,dysarthria,female,4.485
him,Come.,hem,hem,dysarthria,female,1.8
yes,Yeah!,yet,yet,dysarthria,male,1.73
light,Light.,light,light,dysarthria,female,1.35
floor,Whoa!,"floor,","floor,",dysarthria,female,1.5
whoop,Woop!,woop,woop,dysarthria,male,2.66
thorn,So on.,born,born,dysarthria,female,2.865
bat,bad,bat,bat,dysarthria,male,2.295
sip,That's it.,sit,sit,dysarthria,male,3
Grandfather likes to be modern in his language,Grandfather likes to be modern in his language.,Grandfather likes to be modern in his language,Grandfather likes to be modern in his language,dysarthria,female,5.4
pit,Good.,pip,pip,dysarthria,female,1.56
swarm,one,swarm,swarm,dysarthria,male,2.97
yes,Yeah.,yep,yep,dysarthria,male,2.48
